,proverb,translation,
5836,விடிந்தால் தெரியும் மாப்பிள்ளை குருடும் பெண் குருடும்.,It will be known at day-break whether the bridegroom or the bride is blind.,
5837,விடிந்தும் பெண்ணுக்கு முட்டாக்கோ?,Does the woman require a veil even after sunrise?,
5838,விடிய விடியக் கதை கேட்டு இராமனுக்குச் சீதை என்ன வேண்டுமென்று கேட்டதுபோல.,"As one asked what relationship existed between Ráma and Sita, after listening to their history till day-break.",
5839,"விடியற்காலம் கலியாணம், பிடி அடா தாம்பூலம்.","The marriage will take place at dawn, thou fellow, take betel.",
5840,விடியா மூஞ்சிக்கு வேலை அகப்பட்டாலும் கூலி அகப்படாது.,"Though the unfortunate may find work, he will not get his hire.",
5841,விடியுமட்டும் இறைத்தவனும் விடிந்தபின்பு சாலை உடைத்தவனும் சரி.,"He that draws water till day-break, and he that breaks his bucket at day-break, are on an equality.",
5842,விடியுமட்டும் மழை பெய்தாலும் ஓட்டாங்கிளிஞ்சில் முளைக்காது.,"Though it may rain till day-break, a potsherd will not germinate.",
5843,விட்டிற்பூச்சியைப்போல் பறந்து திரிகிறான்.,He flits about like a grass-hopper.,
5844,விட்டு விட்டுப் பெய்கிற மழையிலும் விடாமற் பெய்கிற தூவானம் நல்லது.,Unceasing driving rain is preferable to intermitted showers.,
5845,விட்டுதடா ஆசை விளாம் பழத்து ஓட்டோடே.,The pleasure of the wood-apple ceases with the shell.,
5846,விண் காட்டப் போனவன் கண் காட்ட வந்தானாம்.,"It is said that he who went to point out the heavens, returned to shew his eyes.",
5847,"விண்ணாணம் எங்கே, கின்னரம் எங்கே?","What is become of your ostentation, and where is your guitar?",
5848,விண்ணுமாலைக்குக் கலியாணம் விழுந்து கொட்டடா சாம்புவா.,"O, thou tomtom beater, Vinumal is to be married, fall down and beat your tomtom.",
5849,விண்ணேறு தப்பினாலும் கண்ணேறு தப்பாது.,"One may escape a thunderbolt, but he cannot escape the effects of an evil eye.",
5850,விண்தொடு கொடிமூடி மேருவும் வீறளி தென்திசைக் கிரியும்.,"Meru whose summit reaches to heaven, and the merit giving mountain on the south.",
5851,விண் பொய்த்தால் மண் பொய்க்கும்.,"If the sky fail, the earth will fail.",
5852,விண் வலிதோ மண் வலிதோ?,Which is the more powerful heaven or earth?,
5853,விதி போகிற வழியே மதி போகும்.,The mind will follow destiny.,
5854,விதி முடிந்தவனைப் பாம்பு கடிக்கும்.,A viper will bite him whose prescribed term of life is at an end.,
5855,விதியை மதியால் தடுக்கலாமா?,Can destiny be averted by prescience?,
5856,விஸ்தாரக்காரன் செத்தால் பிழைக்கான்,"A boaster if he die, cannot return to life.",
5857,வித்து இல்லாச் சம்பிரதாயம் மேலும் இல்லைக் கீழும் இல்லை.,"Out of nothing, nothing comes, whether above or below.",
5858,வித்துவானுக்கு எது பரதேசம்?,What country is foreign to a man of learning?,
5859,வித்துவான்களுக்கு எது பெரிது?,What is difficult to the learned?,
5860,வித்தைக் கள்ளி மாமியார் விறகு ஒடிக்கப் போனாளாம் கற்றாழை முள்வந்து கொத்தோடே தைத்ததாம்.,"The sapient old mother-in-law is said to have got foul of the thorny cactus, when she went to gather firewood.",
5861,வித்தை அற்றவன் அழகு வாசனை இல்லா முருக்கம் பூப்போல.,"The beauty of the unlettered, is like the inodorous Muruku flower.",
5862,வித்தை விரும்பு.,Desire learning.,
5863,"வித்தைக் கள்ளி, விளையாட்டுக் கள்ளி, பாகற்காய் விற்ற பழங்கள்ளி.","She is a hypocrite, and idle;—she is that old thief that sold págal fruit.",
5864,வித்தையடி மாமி விக்குதடி பணிகாரம்.,"O thou pretending mother-in-law, cakes stick in my throat.",
5865,"வித்தையில் எளியது சூனியம், பன்னத்திலே எளியது நீற்றுப்பெட்டி.","Of arts sorcery is the easiest, of textures the pastry boiling basket.",
5866,வித்தை அடிக்கிற கோழிக்கு விலாவில் இருக்கிறதாம் பித்து.,It is said that an hypercritical hen has its bile in its chest.,
5867,வித்தையுள்ளவன் பெரியவன்.,"He who is learned, is truly great.",
5868,விநாசகாலே விபரீத புத்தி.,Bent on destruction by a strange fatality.,
5869,வியாச்சியம் சேற்றில் நட்ட கம்பம்.,Litigation is a pole planted in mud.,
5870,வியாதிக்கு மருந்து உண்டு விதிக்கு மருந்து உண்டா?,Medicine may be had for a disease—is there any for destiny?,
5871,வியாதியிலும் மருந்து கொடிது.,The medicine is worse than the disease.,
5872,விரதத்திலும் பெரிதோ ஒரு சந்தி?,Is fasting more meritorious than penance?,
5873,விரதம் கெட்டாலும் சுகம் தக்கவேண்டும்.,"Though the penance may prove ineffectual, one must have regard to his comfort.",
5874,விரலுக்குத் தக்க வீக்கம்.,The swelling will be proportioned to the size of the finger.,
5875,விரல் உதவி விருந்தினர் உதவார்.,"Guests are not as serviceable, as are one’s fingers.",
5876,விரல் உரல் ஆனால் உரல் என்ன ஆகும்?,"If the finger swell to the size of a rice mortar, how large will the mortar be when that swells?",
5877,விரல் போகாத இடத்தில் உரல் போமா?,Can a mortar pass through an opening which is not large enough to admit a finger?,
5878,விரிந்த உலகில் தெரிந்தவர் சிலர்.,There are few on the face of the wide world who are wise.,
5879,விருது கூறி வந்து செடியில் நுழையலாமா?,"Anxious for fame, may one crawl under bushes?",
5880,விருதுக்கோ வேட்டை ஆடுகிறது?,"What, hunting, to acquire fame?",
5881,விருத்தாசலம் போனால் திரட்பாவம் போகும்.,Pilgrimage to Viruttáchalam will expiate great sins.,
5882,விருந்து இட்டுப் பகை தேடுகிறது.,Seeking enemies by means of hospitality.,
5883,விருந்திலோர்க்கு இல்லைப் பொருந்திய ஒழுக்கம்,The inhospitable are destitute of agreeable manners.,
5884,விருந்து இல்லாச் சோறு மருந்து.,Food without hospitality is medicine.,
5885,விருந்தைப் பண்ணிப் பொருந்தப் பண்ணு.,Win your enemy by hospitality.,
5886,விருந்தும் மருந்தும் மூன்று பொழுது.,Hospitality and medicine must be confined to three days.,
5887,விருப்பத்தினால் ஆகாதது வீம்பினால் ஆகுமா?,"Can that which is unattainable by ambition, be attained by mere boasting?",
5888,விரை ஒன்று போடச் சுரை ஒன்று முளைக்குமா?,Will the bottle gourd spring up when a different seed is sown?,
5889,விலக்கக் கூடாத துன்பத்திற்கு விசனப்படாதே.,Do not fret about disagreeables that cannot be averted.,
5890,விலங்கை விட்டுத் தொழுவில் மாட்டிக்கொண்டதுபோல.,Like being put in the stocks after liberation from chains.,
5891,விலை மகட்கு அழகு தன் மேனி மினுக்குதல்.,It befits a harlot to make her person shine.,
5892,வில் அடியால் சாகாதது கல் அடியால் சாகுமா?,"Will that which resisted the stroke of a bow, die by the pelting of stones?",
5893,வில் இல்லாதவன் அம்பு தேடுவான் ஏன்?,Why should a man without a bow seek arrows?,
5894,வில்லம்போ சொல்லம்போ?,Is it an arrow or sarcasm?,
5895,"வில்லுக் குனியாது எய்தால், விலகாது எதிர்த்த பகை.","If you shoot an arrow when the bow is not sufficiently bent, the enemy will not retreat.",
5896,வில்லுக்கு விஜயன் பரிக்கு நகுலன்.,"In archery Vijaya, in horsemanship Nakula.",
5897,வில் வளைந்தால் மோசம் தரும்.,The bending of a bow is dangerous.,
5898,"வில்வப்பழம் தின்பார் பித்தம் போக, பனம்பழம் தின்பார் பசி போக.","They eat vilvam fruit to remove biliousness, and palmyrah fruit to appease hunger.",
5899,விவேகத்தின் மேன்மை அவிவேகத்தை ஒழித்தல்.,It is the excellence of discretion to avoid indiscretion.,
5900,விழலுக்கு இறைத்த நீர்.,Water drawn for coarse grass.,
5901,விழித்தவன் கன்று நாகுகன்று தூங்கினவன் கன்று கடாக்கன்று.,The calf of the man who watched is a female; that of him who slept is a male.,
5902,விழுகிற சுவரிலே கை வைப்பான் ஏன்?,Why put your hand on a tottering wall?,
5903,விழுங்கின ரசம் வயிற்றில் இராது.,Swallowed mercury will not remain in the stomach.,
5904,விழுந்த பிள்ளையை எடுக்க நேரம் இல்லை.,No time to lift up the child that has fallen down.,
5905,விழுந்தாலும் மீசையில் மண் ஒட்டவில்லை என்கிறான்.,"Though he has fallen down, he says that his mustache is not soiled with dust.",
5906,விளக்குமாற்றுக்குப் பட்டுக் குஞ்சமா?,"What, a silk tassel for a broom?",
5907,விளக்கெண்ணெய்க்குக் கேடே தவிரப் பிள்ளை பிழைப்பது இல்லை.,"The child did not survive,—it was only waste of oil.",
5908,விளக்கெண்ணெயைத் தடவிக்கொண்டு ஆற்று மணலில் புரண்டாலும் ஒட்டுகிறதுதான் ஒட்டும்.,"Though one roll himself in sand, after applying oil to his body, he cannot make a larger quantity of sand adhere to his body.",
5909,விளக்கெண்ணெயாம் தலைக்கு எண்ணெய்.,It is said that what he uses for the head is lamp-oil.,
5910,விளக்கைப் பிடித்துக்கொண்டு கிணற்றில் விழுகிறதா?,"What, falling into a well with a lighted lamp in the hand?",
5911,விளக்கைக் கொளுத்திக் கீழே வைப்பார் உண்டோ?,Does any one place a lighted lamp on the floor?,
5912,விளக்கை வைத்துக்கொண்டு நெருப்புக்கு அலைகிறதுபோல.,"Like wandering abroad for fire, while there is a lighted lamp in the house.",
5913,விளக்கு ஒளிக்கு ஆசைப்பட்ட விட்டில்போல.,Like a grass-hopper fascinated by a lighted lamp.,
5914,விளங்கா மடையன் விறகுக்குப் போனால் விறகு கிடைத்தாலும் கொடி கிடையாது.,"If a simpleton go for firewood, though it be found, a creeper to bind it into a bundle will not be found.",
5915,விளையாட்டுப் பிள்ளை விஷத்துக்கு அஞ்சாது.,A playful child will not fear venomous reptiles.,
5916,விளையாட்டாய் இருந்தது வினையாய் முடிந்தது.,Originating in playfulness it ended seriously.,
5917,விளையாட்டுப் பண்டம் வீடு வந்து சேராது.,Things prepared by playful children never come home.,
5918,விளையும் பயிர் முளையிலே தெரியும்.,The future crop is known in the germ.,
5919,விறகு கட்டுக்காரனுக்கு நாரை வலம் ஆனால் ஒரு பணம் விற்கிறது ஒன்றேகாற்பணம் விற்கும்.,"If a crane cross a firewood man from left to right, what he sells ordinarily for a fanam, will fetch a fanam and a quarter.If a crow fly on the right of one going out of his house, he is sure to meet with success. If on the left, he will not obtain what he seeks.",
5920,விறகு கோணலானாலும் நெருப்புப் பற்றாதா?,"Will firewood not ignite, because crooked?",
5921,விற்ற குண்டைக்குப் புல் போடுவான் ஏன் ?,Why feed a bullock after it is sold?,
5922,"வினைக்காலம் வரும் காலம், மனை வழியும் தெரியாது.","When times are inauspicious, one does not know his way home.",
5923,வினை விதைத்தவன் வினை அறுப்பான் தினை விதைத்தவன் தினை அறுப்பான்.,"He who sows actions will reap actions, he that sows millet will reap millet.",
5924,வீக்கமோ தூக்கமோ?,Is it the effect of swelling or of sleep?,
5925,வீக்கம் கண்டால் தூக்கமாம்.,Swelling is followed by languor.,
5926,வீங்கலுக்கு விஷம் அதிகம்.,"Looking at the swelling, the inflammation is excessive.",
5927,வீசம் இறுத்த குடி நாசம்.,The payment of a sixteenth is a loss to a family.,
5928,வீசி நடந்தால் வெள்ளி வீசும் குறையும்.,Silver ornaments are injured by swinging the arms when walking.,
5929,"வீச்சு என்றாலும் விடுவேனா, வீர புத்திர அம்பலகாரா?","Thou son of the violent Ambalakáran, shall I let thee go because thou squeakest?",
5930,வீடு அசையாமல் தின்னும் யானை அசைந்து தின்னும்.,"A house consumes standing still, an elephant when moving.",
5931,"வீடு எல்லாம் குருடு, வாசல் எல்லாம் கிணறு.","The inmates of the house are all blind, and there are wells all over the yard.",
5932,"வீடு கட்டுகிறது அரிது, வீடு அழிக்கிறது எளிது.","To build a house is difficult, to destroy one is easy.",
5933,வீடு கட்டுமுன்னம் கிணறு வெட்டவேண்டும்.,"Before building a house dig a well.In a Sanscrit work on architecture I saw some years ago, the advice here expressed is given as the first thing to be attended to, when selecting a site for a house.",
5934,வீடு தருவோன் மேலும் தருவோன்.,He who gives a house may give more than that.,
5935,வீடு நிறைந்த விளக்குமாறு.,A house full of brooms.,
5936,"வீடு போ என்கிறது, காடு வா என்கிறது.","The homestead says go, the place of cremation says come.",
5937,வீடு வெறு வீடு வேலூர் அதிகாரம்.,"His house is empty, but he acts as if he were the chief of Vellore.One of the Nabob’s palaces was at Vellore.",
5938,வீடு வெறுவீடாய் இருந்தாலும் மணியம் ஏழு ஊர்.,"Although his house is empty, he is the manager of seven villages.",
5939,வீட்டில் அழகு வேம்பு அடியாகும்.,The shade of a margosa tree is good for a house.,
5940,வீட்டில் அடங்காதவன் ஊரில் அடங்குவான்.,He who is not obedient in the house will obey in the village.,
5941,வீட்டுக்கருமம் நாட்டுக்கு உரையேல்.,Do not make known abroad the affairs of the homestead.,
5942,"வீட்டுக்கு இருந்தால் வெண்கலப் பெண்டாட்டி, வீட்டுக்கு இல்லாமற் போனால் தூங்கற் பெண்டாட்டி.","If in the house she is bell-metal wife, if she goes abroad, she is a slumbering wife.",
5943,வீட்டுக்கு அலங்காரம் பெரிய குடி.,A large family gives beauty to a house.,
5944,"வீட்டுக்குச் சோற்றுக்கு இல்லை சிவன் அறிவான், நாட்டுக்கு செல்வப்பிள்ளை நான் அல்லவோ?","Siva knows that I have no rice at home, yet am I not regarded abroad as a wealthy person?",
5945,வீட்டுக்கு அலங்காரம் விளக்கு.,A lighted lamp gives beauty to a house.,
5946,வீட்டுக்கு வீடு மண் அடுப்புத்தான்.,An earthen hearth is the rule in all houses.,
5947,வீட்டுக்கு அலங்காரம் மனையாள்.,A wife gives beauty to a house.,
5948,வீட்டுக்கு அலங்காரம் வேளாண்மை.,Grain gives beauty to a house.,
5949,"வீட்டுச் செல்வம் மாடு, தோட்டச் செல்வம் முருங்கைக்காய்.","A cow is house-wealth, and murungai fruit is garden-wealth.",
5950,வீட்டுச் சோற்றைத் தின்று வீண் சண்டைக்குப் போவானேன்?,Why go and quarrel causelessly when eating your own rice?,
5951,வீட்டுச் சோற்றைப் போட்டு வீண் பேச்சுக் கேட்பானேன்?,Having given his own rice why should one hear abuse?,
5952,வீட்டுப் பாம்பு காட்டுக்குப் போனால் அதுவும் காட்டுப் பாம்பு ஆகும்.,"If a tamed snake go to the jungle, it will become a wild one.",
5953,வீட்டு வேலை வெளி வேலை பார்த்துக் காட்டு வேலைக்குக் கட்டோடே போகலாம்.,"After finishing house work and out door work, one should go to that of the jungle with due preparation.",
5954,வீட்டுப் பிள்ளையும் வெளிப் பிள்ளையும் வித்தியாசம் அறியாது.,"Children in one’s own, house and strange children make no difference.",
5955,வீட்டு மூதேவியும் காட்டு மூதேவியும் கூடி உலாவுகிறது.,"The house-goddess of misfortune, and one of the wilds are walking together.",
5956,வீட்டுக்குப் புகழ்ச்சியோ நாட்டுக்குப் புகழ்ச்சியோ?,Is it fame to a family or to the country?,
5957,வீட்டுக்காரியம் பாராதவன் நாட்டுக் காரியம் பார்ப்பானா?,"Will he who cannot manage his own household affairs, attend to the management of a country?",
5958,வீட்டுக்காரி என்று பெண்சாதிக்குப் பெயர்.,Another name for a wife is the mistress of the house.,
5959,வீட்டுக்கு வீரன் காட்டுக்குக் கள்ளன்.,"At home, a hero, abroad, a coward.",
5960,வீட்டுக்கு வீடு எதிர் வீடு ஆகாது.,The door-ways of opposite houses must not be over against each other.,
5961,வீட்டுக்கு ஏற்றின விளக்கு விருந்துக்கும் ஆகும்.,A lamp lit in a house for the inmates may answer for a feast.,
5962,"வீட்டுக்கு வாய்த்தது எருமை, மேட்டுக்கு வாய்த்தது போர்.","A buffaloa makes a house prosper, a corn-stack makes high ground conspicuous.",
5963,"வீட்டுக்கு ஒரு வாசற்படி, பூட்டுக்கு ஒரு திறவுகோல்.","One step as an entrance to the house, and one key to a lock.",
5964,வீட்டுப் பெண்சாதி வேம்பும் காட்டுப் பெண்சாதி கரும்பும்.,"The wife is a margosa tree, the mistress sugar-cane.",
5965,வீட்டைக் கட்டிக் குரங்கைக் குடி வைத்ததுபோல.,"Like building a house, and allowing a monkey to dwell therein.",
5966,"வீட்டைக் காத்து அருள், பாட்டைப் பார்த்து அருள்.","Watch your house, and manage your affairs.",
5967,"வீட்டைக் கட்டிப் பார், கலியாணம் செய்து பார்.","Enjoy the convenience of a house after building it, and the happiness of the conjugal state, after marrying a wife.",
5968,வீட்டைப் பிடுங்கி விறகாய் எரித்தாலும் வீணாதிவீணனுக்கு ஐந்து பணம் எப்படி வரும்?,"Although he may pull down his house and use it for firewood, a notorious idler can never get five fanams?",
5969,"வீட்டைக் காத்த நாயும், காட்டைக் காத்த நரியும், வீண் போகாது.","The expectations of a dog in a house, and a fox in the jungle are not vain.",
5970,வீட்டைக் கட்டி ஓட்டைப் போடு.,"Build the house, and then tile it.",
5971,"வீட்டைக் கட்டு, அல்லது காட்டை அழி.","Either build the house, or destroy the jungle.",
5972,வீட்டை ஏன் இடித்தாய் மூட்டைப்பூச்சிக்குப் பயந்து?,"Why pull down the house, for fear of bugs?",
5973,வீட்டை எல்லாம் வெல்லத்திற்கு மாறினான்.,He gave the whole house in exchange for sugar.,
5974,"வீணருக்குச் செய்தது எல்லாம் வீணாம், கடற்கரையில் காணும் மணல்மேல் எழுத்துக்காண்.","Favours shewn to the worthless are vain, they are like writing on the sand of the sea-shore.",
5975,வீணாய் உடைந்த சட்டி வேண்டியது உண்டு என் தலையிற் பூணாரம் பூண்ட புதுமைதனைக் கண்டது இல்லை.,"There are plenty of pans uselessly broken, I have scarcely ever seen my head adorned with jewels.",
5976,வீணுக்கு உழைக்கிறவன் வீணன்.,He who labours for no purpose is a fool.,
5977,வீண் இழவுக்கு மார் அடிக்கிறதா?,Am I to smite my breast on account of the death of a stranger?,
5978,வீண் இழவுக்கு வீட்டைக் கட்டிப் பார இழவிற்குப் பந்தல் போடு.,"Build a house for the use of a stranger, and put up a pandal for the same purpose.",
5979,வீண் விபரீதத்தால் பேதையர் வீண் செலவு செய்ய உடன்படுவார்கள்.,Fools are extravagant through mere perverseness.,
5980,வீம்புக் குப்பையில் விளையும் வீண் செடி.,A useless shrub growing on a rubbish-heap of ostentation.,
5981,வீம்புக்கு வேடம் கொள்ளாதே.,Do not assume a garb for mere show.,
5982,"வீம்பு பேசுகிறவன் அழிவான், வீரியம் பேசுகிறவன் விழுவான்.","A boaster will be ruined, he who talks as a hero will fall.",
5983,வீரம் பேசிக்கொண்டு எழுந்த சேவகன் வெட்டும் களம் கண்டு முதுகிடலாமா?,"May a soldier who defiantly rose to the combat, retreat in sight of the battle field?",
5984,வீரன் கேண்மை கூர் அம்பாகும்.,"The friendship of a hero, is a sharp arrow.",
5985,வீரியம் பெரிதோ காரியம் பெரிதோ?,Which is the greater boasting or acting?,
5986,வெங்கண்ணை வாங்கு உன் கண்ணைக் கொடுத்து.,Give your eyes in exchange for white-eyed fish.,
5987,வெகுஜன வாக்கியம் கர்த்தவ்வியம்,The sayings of the many involve duty.,
5988,வெச்செனவுக்கு அன்றி வெண்ணெய் உருகுமா?,Can butter be melted without heat?,
5989,"வெட்கம் கெட்டாலும் கெடட்டும், தொப்பையில் இட்டால் போதும்.","It matters little if his honour is at stake, it is enough if his paunch be filled.",
5990,வெட்கத்தால் ஒல்காதவள் குலஸ்திரிக்குப் போகாது.,"She who is not restrained by modesty, is not a woman of superior birth.",
5991,வெட்கம் அற்ற பெண்பிள்ளை வீண்.,A woman without shame is worthless.,
5992,வெட்கப்படுகிற வேசியும் வெட்கம் கெட்ட சமுசாரியும் உதவாதவர்கள்,"Shame in a prostitute, and want of modesty in a wife, are equally out of place.",
5993,வெட்கமே கெட்டு வெளிப்பட்ட முண்டைக்கு முக்காடு ஏது?,What signifies a veil to a widow who goes about without shame?,
5994,வெட்கத்துக்கு அஞ்சினவன் சச்சரவு செய்வானா?,Will he who is afraid of disgrace quarrel?,
5995,வெட்கத்துக்கு அஞ்சினவன் கடனுக்கு அஞ்சுவான்.,He that is afraid of disgrace is afraid of running into debt.,
5996,வெட்கத்தை விற்றுக் கக்கத்திலே கொண்டுபோகிறான்.,"Having sold his sense of shame, he carries its price under his arm.",
5997,வெட்கம் கெட்டவனுக்கு மேனி எல்லாம் அழுக்குத்தான்.,"The whole body of the shameless, is dirty.",
5998,வெட்டப் பலம் இல்லை வெட்டிக்குப் போக மனம் இல்லை.,"He is too weak to cut, and unwilling to go out.",
5999,வெட்ட வெளியிலே வையாளி விடுகிறதா?,Would you let loose a frisky calf in an open plain?,
6000,"வெட்டிக்கு இறைத்து விழலுக்குத் தண்ணீர் கட்டினதுபோல,",Like irrigating for no purpose.,
6001,வெட்டிக் கொண்டுவா என்றாற் குத்திக் கொண்டுவருகிறான்.,"When he is told to reap and bring, he pounds and brings.",
6002,"வெட்டிவேரில் விசிறியும், விலாமிச்சை வேரில் தட்டியும் பண்ணு.","Make a fan of the cuscus root, and a tat of sweet scented grass root.",
6003,"வெட்டின இடத்தில் சலம் ஊறும், வீடு கட்டின இடத்தில் நடை ஏறும்.","Where the ground is dug water will spring, where a house is built there will be an entrance.",
6004,"வெட்டி எல்லாம் தண்ணீர், மண் கட்டி எல்லாம் புல் நாற்று","There is water all over the path, young grass all over the sod.",
6005,வெட்டிவெட்டிப் பார்த்தாலும் முட்டக் கரிக்காசுதான் அகப்படும்.,"Though you may examine by continued digging, you will get only coin of coal in abundance.",
6006,வெட்டிக்குப் பெற்று வேலியில் எறிந்தார்களா?,"Did they give birth to me in vain, and throw me at a hedge?",
6007,வெட்டியானும் பிணமும் கட்டிக்கொண்டு அழட்டும்.,"Let the Vettiyan and the corpse embrace each other, and weep.",
6008,வெட்டின குளத்திலும் தண்ணீர் குடியாது கட்டின வேலியும் தாண்டமாட்டாது.,"It neither drinks in an artificial reservoir, nor leaps an artificial hedge.",
6009,வெட்டினவனுக்கு ஒரு கேணி வீணாதி வீணனுக்குப் பல கேணி.,"He that has sunk a public well has only one, a notorious idler has many.",
6010,வெட்டு ஒன்று கண்டம் இரண்டு.,"One cut, two slices.",
6011,வெட்டென உரையே துட்டர்கள் அறைவர்.,The wicked speak harshly.,
6012,வெட்டெனப் பேசேல்.,Do not speak harshly.,
6013,வெண்கலக் கடையில் யானை புகுந்ததுபோல.,As an elephant entered a brass vessel bazaar.,
6014,வெண்டலைக் கருடன் வந்திடுமானால் எவர் கைப்பொருளும் தன் பொருள் ஆகும்.,"When a brahmany kite crosses one from right to left, he may become possessed of the wealth of all.",
6015,வெண்ணெய்யை வைத்துக்கொண்டு நெய்க்கு அழலாமா?,"Having butter, would you weep for ghee?",
6016,வெண்ணெய் திரளுகிறபோது தாழி உடைந்தாற்போல.,As the churn broke just as the batter was forming.,
6017,வெண்ணெய் உருக்குகிறதற்குள்ளே பெண்ணை ஆற்றிலே தண்ணீர் வருகிறது.,"Ere butter can melt, freshes appear in the Pennar.",
6018,வெந்த சோற்றைத் தின்று வந்தது எல்லாம் பிதற்றுகிறான்.,"He eats his rice, and talks at random.",
6019,வெந்த சோற்றைத் தின்று விதி வந்தால் சாகிறது,"Hating one’s rice, and dying when the time comes.",
6020,வெந்ததுபோதும் முன்றானையிலே கொட்டு.,"It is boiled enough, put it into the end of my cloth.",
6021,வெந்ததைப் போடு முன்றானையிலே,Put what is boiled into my cloth.,
6022,வெந்த புண் வினை செய்யாது.,No evil consequences can arise from a burn.,
6023,வெந்தயம் இட்ட கறிக்கு சந்தேகம் இல்லை.,A curry with vendayam in it needs not be questioned.,
6024,"வெந்தயம் போடாத கறியும் கறி அல்ல, சந்தை இல்லாத ஊரும் ஊர் அல்ல.","A curry made without vendayam-Trigonella Fœnum Grœcum-is not a curry, a village without a market is not a village.",
6025,வெந்தால் தெரியும் வெங்காயம் மணப்பு.,The flavour of an onion will be known after it is boiled.,
6026,வெந்நீரிலே வீடு வேகுமா?,Can a house be burnt down with hot water?,
6027,"வெய்யிலிலே போட்டாலும் உலரான், தண்ணீரிலே போட்டாலும் நனையான்.","He will not dry in the sunshine, nor dissolve in water.",
6028,வெய்யோன் வெயில் முன் எரி தீபம்போல.,Like a burning lamp in sunshine.,
6029,"வெல்லப் படை இல்லை, தின்னப் படை உண்டு.","No army to conquer, though there are enough to consume.",
6030,"வெல்லப் பானையை எறும்பு மொய்த்ததுபோல,",As the ants swarmed on a pot of sugar.,
6031,வெல்லப் பானையை ஈக்கள் மொய்த்துக்கொண்டதுபோல.,As the flies swarmed on a pot of sugar.,
6032,வெல்லம் சாப்பிடுகிறவன் ஒருவன் விரலைச் சூப்புகிறவன் ஒருவன்.,"One eats the sugar, another licks his fingers.",
6033,வெல்லப் போனான் ஒரு செல்லப்பிள்ளை மெல்லப் போனாள் ஒரு அமுங்குத் தலையன்.,"A pet child went to conquer, a flat-headed fellow followed him slowly.",
6034,வெல்லாது உங்கள் படை செல்லாது பாண்டியன்முன்.,"Your army will not conquer, nor even oppose Pandya.",
6035,"வெளிச்சம் இருள் ஆனால் இருள் என்னவாம், மெய்ஞ்ஞானி துர்மார்க்கனானால் அஞ்ஞானி எப்படி ஆவான்?","If light become darkness, what will the darkness be; if a wise man becomes wicked, what a great fool he will be?",
6036,வெளிச்சீர் உட்சீரைக் காட்டும் கண்ணாடி,The exterior is the mirror of the interior.,
6037,வெளுத்தது எல்லாம் பால் கறுத்தது எல்லாம் தண்ணீர்,"Every thing white is milk, and every thing black is water.",
6038,வெளுத்து விட்டாலும் சரி சும்மா விட்டாலும் சரி.,It will be all the same whether he is punished or let go.,
6039,வெள்ளம் பள்ளத்தை நாடும் விதி புத்தியை நாடும்.,"The flood inclines to a hollow, fate follows the intention.",
6040,வெள்ளம் வருவதற்குமுன் அணை கோலிக் கொள்ளவேண்டும்.,One should raise the dam before the flood comes.,
6041,வெள்ளரிக்காய் விற்ற பட்டணம்.,The city where cucumbers were sold.,
6042,வெள்ளாடு நனைகிறது என்று வேங்கைப்புலி விழுந்து விழுந்து அழுகிறதாம்.,It is said that the tiger is fallen down and crying for grief because the goat was wet.,
6043,வெள்ளாடு குழை தின்றதுபோல.,As the goat crops leaves.,
6044,வெள்ளாட்டிக்குச் சன்னதம் வந்தால் விழுந்து விழுந்து கும்பிட வேண்டும்.,"If a servant girl, be possessed of a devil, all must fall down before her.",
6045,வெள்ளாட்டி பெற்ற பிள்ளை விடியற்காலம் செத்துப் போயிற்று,"The child brought forth by a servant girl, died at sunrise.",
6046,வெள்ளாட்டியும் பெண்டாட்டியும் சரியா?,"Are a maid servant and a wife, on an equality?",
6047,வெள்ளாளன் மரபே மரபு கள்ளர் திருட்டே திருட்டு.,"Of all ranks that of the Vellala is foremost, of thefts that of the Kallar is notorious.",
6048,வெள்ளாளன் கெடுக்காவிட்டாலும் வெள்ளோலை கெடுக்கும்.,"If the Vellala did not procure your ruin, his white olas will destroy you.",
6049,"வெள்ளாளன் மினுக்குப்பண்ணிக் கெட்டான், வேசி சளுக்கும் பண்ணிக் கெட்டாள்.","The Vellala was ruined by adornment, the harlot by finery.",
6050,வெள்ளாளன் கிரந்தமும் பார்ப்பான் தமிழும் விழல் விழலே.,"The Sanscrit of a Vellala, and the Tamil of a brahman, are equally faulty.",
6051,வெள்ளாளர் செய்யாத வேளாண்மை வேளாண்மை அல்ல.,"Agriculture not performed by Vellalas, is no agriculture.",
6052,வெள்ளாளர் குடிக்கு ஒரு கள்ளாளர் குடி.,A Kallála family in a Vellála house.,
6053,"வெள்ளிக்கு எதிரே போனாலும், வெள்ளாளனுக்கு எதிரே போகலாகாது.","One may go before an evil star, but not before a Vellalan.",
6054,வெள்ளிக்குப் போட்டதும் கொள்ளிக்குப் போட்டதும் சரி.,"Money laid out on silver ornaments, and that spent for firewood are equally a loss.",
6055,வெள்ளி போட்ட காலுக்கு வெறுங்கால் அடிமையா?,"Is a naked foot, the slave of a foot wearing silver ornaments?",
6056,வெள்ளி வட்டிலும் வேண்டும் விளிம்பிலே பொன்னும் வேண்டும்.,I must have a silver platter with a rim of gold.,
