,proverb,translation
1784,പന്നിമൂത്താൽകുന്നണയും ആളുമൂത്താൽകുലംഅണയും,
1785,പന്നിയെപായും കടവുശേഷിക്കും,
1786,പയ്യെതിന്നാൽ പനയും തിന്നാം,
1787,പാരപക്ഷംചെയ് വോന് പരലോകം ഇല്ലാ,
1788,പരാന്നം പരമസങ്കടം,
1789,പരുത്തിക്കടയിൽ നായ്ക്കെന്തുകാര്യം,
1790,പരുത്തിയോളമേ നൂൽ വെളുക്കു,
1791,പരുന്തിനെക്കണ്ട പാമ്പുപോലെ,
1792,പരോപകാരാർത്ഥമിദം ശരീരം,
1793,പറഞ്ഞാൽ കേൾക്കാത്തവനു വന്നാൽ ഖേദമില്ല,
1794,പറഞ്ഞാൽ കേൾക്കുന്നവനെ കണ്ടാൽ കുളിക്കണം,
1795,"പറഞ്ഞുകൊടുക്കാൻ ആളുണ്ടു,ചെയ്തുകൊടുക്കാൻളില്ല",
1796,പറയനില്ലാ പറയിക്കു എല്ലുംതൊലിയും,
1797,പറയുംവണ്ണം കേട്ടില്ലെങ്കിൽ കേൾക്കുംവണ്ണം പറയണം,
1798,പറുങ്കിക്കു തോലിടാൻ സ്ഥലം കൊടുത്തതുപോലെ,
1799,"പറുങ്കിക്കുനന്നു, ലന്തെക്കു നഞ്ചു",
1800,പലതുള്ളി പെരുവെള്ളം,
1801,പലപുതുവല പൊളിച്ചശേഷം ഒരു പഴവലയിലകപ്പെടും,
1802,പലർ ഈമ്പും അണ്ടിതനിക്കെങ്കിൽ തന്റെപെട്ടകത്താക്കണം,
1803,പലർകൂടി ആർക്കുന്നതിനാൽ ധൈര്യംർദ്ധിക്കുന്നതായി തോന്നുന്നു,
1804,പലർ കൂടിയാൽ പശു പുല്ലുതിന്നുകയില്ല,
1805,പലർ കൂടിയാൽ പാമ്പു ചാകും,
1806,പല അനന്തിരവരുള്ള കാരണവർ കഞ്ഞി ഇറങ്ങി ചാകയില്ല,
1807,പല്ലിടകുത്തി മണപ്പിക്കരുതു (പല്ലിടുക്കിൽകുത്തി മണപ്പിക്കാൻകൊടുക്കരുതു),
1808,പല്ലില്ലാത്ത പശുവിനെ പുല്ലില്ലാത്തപറമ്പിൽ കെട്ടിയാലൊ,
1809,പല്ലുകുത്തുമ്പോൾ പഞ്ചാക്ഷരമോതിയാൽപോകുമൊ,
1810,പല്ലുണ്ടെങ്കിൽ പേക്കനും കടിക്കും,
1811,പല്ലും ചൊല്ലും മെല്ലെമെല്ലെ,
1812,പല്ലെപ്പഴുത്താൽ മെല്ലെചവക്കണം,
1813,പശിക്കുമ്പോൾ അച്ചി പശുക്കയറും തിന്നും,
1814,പശുകുത്താൻവരുമ്പോൾ പഞ്ചാക്ഷരം ഒതിയാൽ പോര,
1815,പശുകുത്തുമ്പോൾ മർമ്മം നോക്കരുതു,
1816,പശു ചത്തിട്ടും മോററിലെ പുളിപോയില്ല,
1817,പശു ചത്തെടത്തു കഴു എത്തുംപോലെ,
1818,പശുവിനെ കൊന്നേച്ചു ചെരിപ്പു ദാനംചെയ്തു,
1819,പശുവും ചത്തു പല്ലിലെ (മോറ്റിലെ)പുളിപ്പും മാറി,
1820,പള്ളിച്ചാനെ കാണുമ്പോൾ കാലുകടഞ്ഞു (കഴക്കും),
1821,പഴകെപ്പഴകെ പാലും പുളിക്കും,
1822,പഴഞ്ചൊല്ലിൽ പതിരുണ്ടെങ്കിൽ (പശുവിൻപാലും കൈക്കും)ഴഞ്ചോറ്റിൽ കൈവേകും,
1823,പഴമനസ്സുണ്ടു പഴങ്കാൽ ഓടുകയില്ല,
1824,പഴമ്പിലാവിലവീഴുമ്പോൾ പച്ചപ്പിലാവില ചിരിക്കെണ്ട,
1825,പഴമുറത്തിനു ചാണകം,
1826,പഴമുറവും ചൂടി കുടിച്ചു ചാകാൻ പോകുന്നതുപോലെ,
1827,പഴുക്കാൻ മൂത്താൽ പറിക്കണം,
1828,പഴുക്കാനിലയിൽ കുറികോൽകണ്ടപോലെ,
1829,പഞ്ചാക്ഷരം= നമശിവായ.,
1830,പാക്കായാൽ മടിയിൽ വെയ്ക്കാം കമുങ്ങായാലോ,
1831,പാങ്ങൻ നന്നെങ്കിൽ പടിക്കൽ ഇരുന്നാലും മതി,
1832,പാങ്ങങ്ങും പടയിങ്ങും,
1833,പാങ്ങർ ഒക്കെ പടിക്കലോളം,
1834,പാഞ്ഞതിന്റെ മുട്ട പറക്കും,
1835,പാഞ്ഞവൻ തളരും,
1836,പാണനോടു പാടാൻ പറഞ്ഞപ്പോൾ പാണൻ പരിയത്തു,
1837,പാണന്റെ കയ്യിൽ കിട്ടിയ ശീല പോലെ,
1838,പാണന്റെ നായി പോലെ,
1839,പാണ്ടിക്കു പോകുന്ന പട്ടരോടു പുളിയൻ മാവിന്റെ ചുവട്ടിൽകൂടിയാ വഴി എന്നു പറഞ്ഞാലൊ,
1840,പാദം മുങ്ങിയാൽ പാതി ചേതം,
1841,പാപി ചെല്ലുന്നേടം പാതാളം,
1842,പാമ്പിനു പാൽ വിഷം;പശുവിനു പുല്ലു പാൽ,
1843,പാമ്പിന്റെ കൂട്ടത്തിൽ വാലും മനഞ്ഞിലിന്റെ കൂട്ടത്തിൽ തലയും,
1844,പാമ്പും കുഞ്ഞിനു പാൽ കൊടുത്തു വളർത്തും പോലെ,
1845,പാമ്പും ചാകയില്ല കോലും ഒടികയില്ല,
1846,പാമ്പും ചേമ്പും ചെറുതു മതി,
1847,പാമ്പും പഴകിയതു നന്നു,
1848,പാമ്പോടുവേറായ തോൽ പോലെ,
1849,പായുടെ കീഴെ തേരോടിക്കുന്നവൻ,
1850,പാറ്റിതുപ്പിയാൽ പള്ളിയറയിലും തുപ്പാം,
1851,പാലക്കാ വിരിഞ്ഞ പോലെ,
1852,"പാലം കടക്കുവോളം നാരായണ, നാരായണ, പാലം കടന്നാൽ പിന്നെ കൂരായണ",
1853,"പാലവുംഇട്ടു, കൈവരിയും കെട്ടി, ഇനി എന്താണുകുറ്റം",
1854,പാലിനു പഞ്ചാര,
1855,പാലിൽപിഴെച്ചാൽ നീളെപിഴക്കും,
1856,പാലുപകർന്നുനനെക്കിലുംകാഞ്ഞരം കാലെഭുജിപ്പാൻമധുരമായ് കാണുമോ,
1857,പാൽപ്പായസംകുടിച്ചവനു പനങ്കാടിഎന്തിനാ,
1858,പാൽവിളമ്പിയെടത്തു പഞ്ചതാര; മോർവിളമ്പിയെടത്തുപ്പ്,
1859,പാളയംപോയ നിരത്തുപോലെ,
1860,പാഴിൽപോകുന്നതു പശുവിൻവയറ്റിൽപോകട്ടെ,
1861,"പാഴിൽ അപ്പന്റെമീശകളഞ്ഞു, തൂക്കവുമില്ല",
1862,പിടലികൊഴുത്തആടു ഇടയനു അടങ്ങുയില്ല,
1863,പിടിക്കുമ്പോൾഞെക്കീടാഞ്ഞാൽ ഇളക്കുമ്പോൾകടിക്കും,
1864,പിടിച്ചതിനെവിട്ടു പറക്കുന്നതിൻവഴിയെ പായരുത്,
1865,പിടിച്ചതുമറന്നിട്ടു മറന്നതുപിടിക്കുംമുമ്പെ വശമാക്കേണ്ടതെല്ലാം വശമാക്കെണം,
1866,പിടിച്ചമീനിനു കല്ലുപ്പും മണ്ണുപ്പും ഇടുക,
1867,പിടിച്ചുവലിച്ചുകുപ്പായംഇട്ടാൽ പറിച്ചുകീറിപ്പോകും,
1868,പിണംകണ്ട കഴുവെപോലെ,
1869,പിണംചുട്ടാലും ഋണം ചുടാ,
1870,പിന്നെയും ചങ്കരൻ തെങ്ങേൽ,
1871,പിരകിലപറിച്ച പന്തിയിൽ,
1872,പിറുക്കും കെറുക്കും ഒന്നു,
1873,പിലാവിന്റെകാതൽ പൂതലാകുമ്പോൾ തേക്കിന്റെ ഇളന്തല പച്ചവിടും,
1874,പിള്ളകരയാതെ തള്ളമുലകൊടുക്കുമോ,
1875,പിള്ളചിത്തം പീനകീറും; നായിചിത്തം തുണികീറും,
1876,പിള്ളപ്പണി തീപ്പണി; തള്ളെക്കുരണ്ടാം‌പണി,
1877,പിള്ളമനസ്സിൽ കള്ളമില്ല,
1878,പിള്ളരെകൂടെ കളിച്ചാൽ വീറുകെടും,
1879,പിള്ളരെമോഹം പറഞ്ഞാൽതീരും; മൂരിമോഹം മൂളിയാൽ തീരും,
1880,"പിള്ളേരല്ലെ, ചക്കരയല്ലെ",
1881,പഴമേൽ‌പിഴയില്ല; മഴമേൽ മുഴയില്ല,
1882,പുകഞ്ഞകൊള്ളി പുറത്ത്,
1883,പുഞ്ചപ്പാടത്തെ കുളം‌പോലെ,
1884,പുഞ്ചപുറത്തിട്ടു വേലികെട്ടുക,
1885,പുത്തൻപെണ്ണു(അവി)പുരപ്പുറം അടിക്കും; പിന്നെപെണ്ണു ഉണ്ടെടം(വെയിച്ചെടം) അടിക്കയില്ല,
1886,പുത്തരിയിൽ കല്ലുകടിച്ചു,
1887,പുണ്ണിനകം ചികയരുതു,
1888,പുണ്ണിലൊരമ്പുതറച്ചതുപോലെ,
1889,പുരയില്ലാത്തവനുണ്ടോ തീപ്പേടി,
1890,പുരവലിപ്പാൻ പറഞ്ഞാൽ ഇറയേവലിക്കാവൂ,
1891,പുരെക്കു തീപിടിക്കുമ്പോഴെ വാഴ വെട്ടാനൊക്കത്തുള്ളൂ,
1892,പുരക്കുമീതെ വെള്ളം പൊങ്ങിയാൽ അതുക്കുമീതെ തോണി,
1893,പുരെക്കൊരു മുത്തി(തീത്തി); അരെക്കൊരു കത്തി,
1894,പൂതൽ=ചെതുക്ക്,
1895,പുലർന്നകുറുക്കനെ പോലെ,
1896,പുലയനെ വെട്ടിയവാൾ കളയാറുണ്ടൊ,
1897,പുലി ഏകാദശി നോക്കിയാലും പാരണക്കു പശുതന്നെ,
1898,പുല്ലിട്ടതീയും പുലയരെബാന്ധവും,
1899,പുല്ലിൽ തൂകിയനെയ് (തവിടു) പോലെ,
1900,പുല്ലുതച്ചനെല്ലിനു കീറിയപായി,
1901,പുല്ലുതിന്നും ഭൂമിയിൽ കിടക്കണം,
1902,പുളവൻ മൂത്താൽ നീക്കോലി,
1903,"പൂളളപുളെക്കെട്ടുമെടീ,പുടഞാൽ കാൺപിക്കുമാ",
1904,പൂച്ചകുരുടിയാണെന്നു എലി അറിയുമൊ,
1905,പൂച്ചക്കു അറിവേറെവെക്കെണമൊ,
1906,പൂച്ചക്കെന്താ പൊന്നുരുക്കുന്നിടത്തൂകാര്യം,
1907,പൂച്ചചെന്നാലൊ എലികതകുതുറക്കുന്നതു,
1908,പൂച്ചമൂത്താൽ കോക്കാൻ,
1909,പൂച്ചവീണാൽ തഞ്ചത്തിൽ(നാലുകാലീന്മെൽ),
1910,പൂച്ചയില്ലാനാട്ടിൽ എലിരാജാവു,
1911,പൂച്ചക്കുവിളയാട്ടംഎലിക്കുപ്രാണവേദന,
1912,പൂഞ്ഞാൽ ചെടിച്ചാൽവരലാകുമൊ,
1913,പൂട്ടുന്നകാളഎന്തിനു വിതെക്കുന്നവിത്തെറിയുന്നു,
1914,"പൂത്തതൊക്കെമാങ്ങയുംഅല്ല,,പെറ്റതൊക്കെ മക്കളും അല്ല,നേടിയതെല്ലാം പണവുമല്ല",
1915,പൂരാടംപിറന്ന പുരുഷനും മകംപിറന്ന മങ്കയും,
1916,പൂവട്ടത്തലെക്കും തന്നിഷ്ടത്തിനും ചികിത്സയില്ല,
1917,പൂളം കൊണ്ടുപാലമിട്ടാൽ കാലംകൊണ്ടറിയാ,
1918,പ്യഷ്ഠം നന്നെങ്കിൽ മൂഖം ആകാ,
1919,പെണ്ണില്ലെന്നുവെച്ചു പെങ്ങളെ കെട്ടാറുണ്ടൊ,
1920,പെണ്ണുകെട്ടണമെങ്കിൽ പെരിക്കാലും പിടിക്കണം,
1921,പെണ്ണുങ്ങളോടു കൂറുപറഞ്ഞു കാടികുടിച്ച കയ്യൻ,
1922,പെണ്ണുചേരുമ്പോൾ വീടുചേരുകയില്ല; വീടുചേരുമ്പോൾ പെണ്ണു ചേരുകയില്ല,
1923,പെണ്ണു പെറ്റ വീടുപോലെ,
1924,"പെണ്ണു കെട്ടി, കണ്ണും പൊട്ടി",
1925,പെണ്ണും മണ്ണും നന്നാക്കിയെടത്തോളം നന്നാകും,
1926,പെണ്ണൊരുമ്പെട്ടാൽ ബ്രഹ്മനും തടുത്തുകൂടാ,
1927,പെൺചൊല്ലുകേൾക്കുന്നവൻ പെരുവഴി,
1928,പെൺപട പടയല്ല; മൺചിറചിറയല്ല,
1929,പെൺപിള്ള എല്ലാവർക്കും ഒക്കെ,
1930,പെണ്മൂലം നിർമ്മൂലം,
1931,പെണ്മൂലം പെരുവഴി,
1932,പെരിയോരു വന്നാൽ പൃഷ്ഠം കൊടുക്കണം,
1933,പെരിയോരോടു എളിയോൻ നടുപറയരുത്,
1934,പെരുത്തലമട്ടൽ ചവിട്ടും പോലെ,
1935,പെരുവഴി തൂവെക്കരമില്ല,
1936,"പെറ്റതള്ളക്ക് തവിട് ഇടിക്കയില്ല, ആരാന്റെ തള്ളെക്ക് ഇരുമ്പിടിക്കും",
1937,പെറ്റതെല്ലാം മക്കളും നേടിയതെല്ലാം ധനവുമല്ല,
1938,പെറ്റമ്മ ചത്താൽ പെറ്റപ്പൻ ചിറ്റപ്പൻ,
1939,പെറ്റമ്മെക്കു ചിലവിനും കൊടുക്കരുതു. സന്ധ്യക്കു വിളക്കും കൊളുത്തരുതു,
1940,പെറ്റമ്മെക്കു ചോറുകൊടുത്തൊ മുത്താച്ചിക്കരിയളപ്പാൻ,
1941,പെറ്റവൾ ഉണ്ണുന്നതുകണ്ടു മച്ചികൊതിച്ചാൽ കാര്യമൊ,
1942,പെറ്റവൾ ഉണ്ണുന്നതുകണ്ടു വറടികാതംപറഞ്ഞാൽ ഫലമെന്തു,
1943,പെറ്റവൾക്കറിയാം പിള്ളവരുത്തം,
1944,പേടി അകം പുക്കാൽ കാടകംസ്ഥലം പൊരാ,
1945,പേടിക്കുകാടുദേശം പോരാ,
1946,പേടിക്കുടലനു മീശ എന്തിനു,
1947,പേടും പിടിയും,
1948,പേട്ടുമരത്തേലും തേനിരിക്കും,
1949,പേട്ടു മുട്ടെക്കു പട്ടിണിയിടല്ല (പാടുകിടക്കല്ല),
1950,പേറ്റി ആകാഞ്ഞിട്ടു കുട്ടി പെണ്ണായി പോയി,
1951,പൈക്കുമ്പോൾ പന്നിയിറച്ചി ഹലാൽ,
1952,പൊക്കാളിവെച്ചാൽ വക്കാണം ഉണ്ടാം,
1953,പൊട്ടക്കളിക്കു പൊരുളില്ല,
1954,പൊട്ടച്ചക്കിനു പുണ്ണൻകാള,
1955,പൊട്ടൻ പറഞ്ഞതു പട്ടെരിയും വിധിക്കും,
1956,പൊട്ടൻ പറഞ്ഞാൽ പട്ടെരി കെൾക്കുമൊ,
1957,പൊട്ടനെ ചെട്ടിചതിച്ചാൽ ചെട്ടിയെ ദൈവം ചതിക്കും,
1958,പൊട്ടന്റെ ചെവിയിൽ കുഴലൂതുംപോലെ,
1959,പൊണ്ണക്കാര്യത്തിന്റെ അങ്ങെ അറ്റം കൂറപ്പെനിന്റെ ഇങ്ങെ അറ്റം,
1960,"പൊന്നരുവാ, നെരടിയമ്മി, വെച്ചാലൊട്ടു കൊടുക്കയും വേണ്ടാ",
1961,പൊന്നാരംകുത്തിയാൽ അരി ഉണ്ടാകയില്ലാ,
1962,പൊന്നുകാക്കുന്ന ഭൂതംപോലെ,
1963,പൊന്നുണ്ടായിരുന്നാൽ പുളിശ്ശെരിയുംവയ്ക്കാം,
1964,പൊന്നുരുക്കുന്നേടത്തു (പൊൻതൂക്കുന്നെടുത്തു) പൂച്ചെക്കെന്തുകാര്യം,
1965,പൊന്നുവെക്കേണ്ടയെടത്തു പൂവെങ്കിലുംവെക്കണം,
1966,പൊന്നുംകുടത്തിനു പൊട്ടെന്തിനു,
1967,പൊന്നുംതൂമ്പായുണ്ടായാലും ഇരിമ്പുംതൂമ്പാ കൂടാതെ കഴിയുമോ,
1968,പൊന്നൊന്നു പണിപലതു,
1969,പൊൻസൂചിയുള്ളവനു ഇരിമ്പുസൂചിയും ആവശ്യപ്പെടും,
1970,പൊൻസൂചിയെങ്കിലും കണ്ണിൽകുത്തരുതു-(കൊണ്ടുകുത്തിയാലും കണ്ണുപോകും),
1971,പൊരുത്തങ്ങളിൽ മനപ്പൊരുത്തം മതി,
1972,പൊളിഞ്ഞതും പൊളിയാത്തതും ചേടി നോക്കിയാലറിയാം,
1973,"പോകെണ്ടതുപോയാൽ ബുദ്ധിവെക്കും, വേവേണ്ടതു വെന്താൽതീയുംകത്തും",
1974,പോക്കറ്റാൽ പുലി പുല്ലുംതിന്നും,
1975,പോണ്ടതുപോയെ വേണ്ടതുതോന്നൂ,
1976,പോത്തിന്റെചെവിട്ടിൽ കിന്നരം വായിക്കുന്നതു പോലെ,
1977,പോത്തിന്റെമേൽ ഉണ്ണികടിച്ചതുപോലെ,
1978,പോത്തുകൂടെ വെള്ളംകുടിക്കാത്ത കാലം,
1979,പോത്തു മാനംനോക്കുമ്പോൾ ആൾ മരം നോക്കണം,
1980,പോന്തകടിച്ച പശുവെപോലെ,
1981,പോയബുദ്ധി ആനപിടിച്ചാൽ വരുമോ,
1982,പോയ മുയൽ പെരിയ മുയൽ,
1983,പോയാൽ പൊറുക്കുവാൻ പൊണ്ണാച്ചിയുംമതി,
1984,"പോരുന്നോരെ പോരുമ്മ, പോരാത്താളുടെ ചന്തിമേൽ",
1985,പോഴനായിരുന്നാലും പൊണ്ണനായിരിക്കണം,
1986,പ്രാണൻപോയാലും മാനം കളയരുത്,
1987,പ്രാർത്ഥനയില്ലാത്ത പ്രവൃത്തിയും ഞാണില്ലാത്ത വില്ലും ഒരുപോലെ,
1988,ബധിരാൻ മന്ദകർണ്ണശ്രെയാൻ,
1989,ബന്ധനഭ്രഷ്ടൊ ഗൃഹകപൊതശ്ചില്ലംയാ മുഖെപതിതഃ,
1990,ബന്ധു ആറു കരയുന്നതിനെക്കാളും ഉടയവനൊന്നുകരഞ്ഞാൽ മതി,
1991,"ബാലർ പടെക്കാകാ, ഇളന്തേങ്ങ കറിക്കാകാ",
1992,ബാലശാപവും നാരിശാപവും ഇറക്കികൂട,
1993,ബ്രഹ്മാവു വിചാരിച്ചാൽ ആയുസ്സിനു പഞ്ഞമൊ,
1994,ബ്രാഹ്മണനും പശുവിനും പത്തുദിവസം പുല,
1995,ബ്രാഹ്മണരിൽ കറുത്തവനെയും പറയരിൽ വെളുത്തവനെയും വിശ്വസിച്ചുകൂടാ,
1996,"ഭക്തിയാലെ മുക്തി, യുക്തിയാലെ ഉക്തി",
1997,ഭണ്ഡാരത്തിൽ പണം ഇട്ടപോലെ,
1998,"ഭയത്താലെ ഭക്തി, നയത്താലെ യുക്തി",
1999,"ഭരണി കരിക്കയുമില്ല, കുരിശു വരക്കുകയുമില്ല",
2000,"ഭള്ളിൻ പെരുപ്പം, പുല്ലിന്റെ നാശം",
2001,ഭാഗ്യമുള്ളവൻ ചെറ്റയും പൊളിച്ചു കേറിവരും,
2002,ഭാഗ്യമുള്ളവനു തേടിവെക്കണ്ടാ,
2003,ഭാരംചക്കക്കു പലംചുക്കു,
2004,ഭിക്ഷെക്കു വന്നവൻ പെണ്ടിക്കുമാപ്പിള,
2005,ഭ്രമിക്കു ബെറുമയിട്ടവനല്ലെ ഇവൻ,
2006,ഭേകം മുഴങ്ങിയാൽ ഇടിയായിവരുമൊ,
2007,ഭോജനമില്ലാഞ്ഞാൽ ഭാജനം വേണമൊ,
2008,ഭോഷനോർത്തു ആമയാണെന്നു,
2009,ഭോഷെന്റെ ലക്ഷണം പൊണ്ണത്വവാക്കു,
2010,ഭോഷരുണ്ടെങ്കിൽ പാത്രംമാറാം,
2011,"മകംപിറന്ന മങ്ക, പൂരാടംപിറന്ന പുരുഷൻ",
2012,മകൻചത്തിട്ടെങ്കിലും മരുമകളുടെദുഃഖം കാണണമെന്നോ,
2013,മകരം (മേടം)വന്നാൽ മറിച്ചെണ്ണെണ്ടാ,
2014,മകരമാസത്തിൽ മഴപെയ്താൽ മലയാളം മുടിഞ്ഞുപോകും,
2015,"മക്കത്തുചെന്നു ചിരെച്ചാൽ പൊതിയാ തേങ്ങായോളം പൊന്നു കിട്ടും, അവിടെ കൊടുത്താൽ അരി മുഴക്കെകിട്ടും",
2016,മക്കൾ ഉണ്ടെങ്കിൽ പടെക്കൽ കാണാം,
2017,മക്ക(ൾ) ച്ചോറു ദുഖച്ചോറു,
2018,"മക്കൾക്കു മടിയിൽ ചവിട്ടാം, മരുമക്കൾക്കു തൊടിയിൽ (വളപ്പിൽ) ചവിട്ടിക്കൂടാ",
2019,മക്കൾക്കും മക്കടെ മക്കൾക്കും മങ്ങയുടെ അണ്ടിക്കും രസം തീരാ,
2020,മക്കളെ കൊല്ലല്ലെ,
2021,മങ്ങലിക്കു പൂളുവെക്കുന്നതുപോലെ,
2022,മച്ചി അറിയുമോ ഈറ്റുനോവു,
2023,മഞ്ഞച്ചേര മലർന്നു കടിച്ചാൽ മലനാട്ടിലെങ്ങും (മലയാളത്തെങ്ങും) മരുന്നില്ല,
2024,മടവാളിനു പാളപരിച,
2025,മടി കുടികെടുത്തും,
2026,മടിയൻ മലചുമക്കും.,
2027,മടിയിലരി ഉണ്ടെങ്കിൽ പെങ്ങളുടെ വീടു ചോദിക്കണമോ,
2028,മടിയിൽ ഘനം ഉണ്ടെങ്കിലെ വഴിയിൽ ഭയം ഉള്ളൂ,
2029,മട്ടുകുടിച്ചാൽ മട്ടനാകും,
2030,മണങ്ങിനു ഇണങ്ങില്ല,
2031,മണങ്ങിനു ഗുണങ്ങു ചാമച്ചോറു,
2032,മണൽ കൊണ്ടു അണകെട്ടുക,
2033,മണൽകൊണ്ടു കയറുപിരിച്ചപോലെ,
2034,മണൽ പിരിച്ചു നൂലാക്കി,
2035,മണൽ വാരാൻ അനുവാദം ചോദിക്കുമ്പോലെ,
2036,മണലിൽ പെയ്ത മഴപോലെ,
2037,മണ്ണച്ചിക്കു മരനായരു,
2038,മണ്ണട്ട ആർക്കുന്നതുപോലെ,
2039,മണ്ണുതിന്നുന്ന മണ്ഡലിയെപോലെ,
2040,മണ്ണുതിന്നെങ്കിലും മണ്ണേൽ കിടക്കണം,
2041,"മണ്ണുമൂത്താൽ വെട്ടിവാഴും, പെണ്ണൂമൂത്താൽ കെട്ടിവാഴും",
2042,മതിയുള്ളവൻ രാജാവു,
2043,മതൃത്തപാലിന്നില്ലാത്തതൊ പുളിച്ചമോറ്റിനു,
2044,മദമിളകിയ ആനയെപോലെ,
2045,മദയാനയ്ക്കൊപ്പം കുഴിയാനവരുമോ,
2046,മധുരമുള്ള വാക്ക് മനസ്സു തകർക്കും,
2047,മനകെട്ടി മലയാളൻ കെട്ടു,
2048,മനഞ്ഞിടത്തുതന്നെ ഉടയുകയാ നല്ലത്,
2049,മനസ്സിൽ ചക്കര മധുരിക്കുകയില്ല,
2050,മനസ്സിലാകാതെ മനസ്സിലായെന്നു പറഞ്ഞാൽ മനസ്സിലായതും മനസ്സിലാകാതെ പോകും,
2051,മനസ്സിൽ കാണുമ്പോൾ മരത്തേൽ കാണും,
2052,മനസ്സിൽ കണ്ടതു വടികുത്തിപ്പിരിഞ്ഞു,
2053,മനസ്സുപോലെ മംഗല്യം,
2054,മനസ്സൊപ്പമായാൽ ഉലക്കമേലും കിടക്കാം,
2055,മനുഷ്യൻ നായും കാക്കയും ആയ്പോകരുത്,
2056,മനോരമ്യം രമ്യം (രസം രസം രഞ്ജനരഞ്ജന) എങ്കിൽ ചാണകപ്പാട്ടയും (കുന്തിയും) സമ്മന്തി,
2057,മന്തുകാലൻറെ കാത്തളപോലെ,
2058,മന്തുകാലൻറെ തൊഴിപോലെ,
2059,മന്ത്രം കൊണ്ടു മാങ്ങാ വീഴുകയില്ല,
2060,മന്ത്രിക്കൊത്തപടി,
2061,മന്നത്തു മടി അഴിച്ചുകൂടാ,
2062,മയിൽ തിന്ന അച്ചിയെപ്പോലെ,
2063,മയിലാടുമ്പോലെ ചെമ്പോത്താടുമോ,
2064,മരത്തിനു കായിഘനമോ,
2065,"മരത്തിനു വേർ ബലം, മനുഷ്യനു ബന്ധുബലം",
2066,മരത്തെക്കാൾ വലിയ കായി,
2067,മരത്തോക്കിനു മണ്ണുണ്ട,
2068,മരമറിഞ്ഞു (നോക്കി) കൊടിവെക്കണം(ഇടണം),
2069,മരമില്ലാ നാട്ടിൽ ആവണക്കു മഹാമരം,
2070,മരിക്കാതിരിപ്പാൻ ജനിക്കാതിരിക്കണം,
2071,മരിങ്ങിയ പണം മരിച്ചാലും എടുക്കുകയില്ല,
2072,മരുന്നും വിരുന്നും മൂന്നുനാൾ,
2073,മരുമക്കളെ പേടിപ്പിക്കാൻ മക്കളെ അടിക്ക,
2074,"മറക്കലം, തുറക്കലം, പിന്നെ പനക്കലം, പിന്നെയതു പാൽക്കലം",
2075,മറയിൽവെച്ചു മദ്ദളം കൊട്ടുന്നതെന്തിനു,
2076,മലങ്കാക്ക കരഞ്ഞാൽ വിരുന്നുവരും,
2077,മലടിക്കറിയാമോ പിള്ളനൊമ്പലം,
2078,മലമിഴുങ്ങും രാക്ഷസനു വാതിൽപ്പലക പപ്പടം,
2079,"മലയരികെ ഉറവു, പണമരികെ ഞാ(ന്യാ)യം",
2080,മലയാംഭാഷക്ക് തുപ്പായി (ദ്വിഭാഷി) വേണമോ,
2081,മലയോടു കൊണ്ടാക്കലം എറിയല്ലേ,
2082,മലർന്നുകിടന്നു തുപ്പിയാൽ മാറത്തു വീഴും,
2083,"മലിഞ്ഞാമണ്ണ്, കുറഞ്ഞാൽ പൊന്ന്",
2084,മല്ലൻപിടിച്ചെടം മർമ്മം,
2085,മഴനനയാതെ പുഴയിൽ ചാടുക,
2086,മഴയത്തുള്ള എരുമയെപ്പോലെ,
2087,മാക്രികരഞ്ഞു മഴപെയ്യിച്ചു,
2088,മാങ്ങവീണാൽ മാക്കിഴ്പാടോ,
2089,മാങ്ങാപഴുത്താൽ താനെ വീഴും,
2090,മാടറിയാത്തവാൻ മട്ടകൊള്ളുക,
2091,മാണിക്കക്കല്ലിനെന്തുള്ളൂ മലസംഗംഭവിക്കിലും,
2092,മാണിക്കക്കല്ലുകൊണ്ടു മാങ്ങഎറിയുന്നുവോ,
2093,മാണിക്കക്കല്ലു പന്തീരാണ്ടു കുപ്പിയിൽ കിടന്നാലും മാണിക്കക്കല്ലു തന്നെ,
2094,മാനംകെട്ടും പണംനേടിക്കൊണ്ടാൽ മാനക്കേടപ്പണം പൊക്കിക്കൊള്ളും,
2095,മാപ്പിള തൊട്ടുതിന്നും മാക്രി കടിച്ചുചത്തും കേട്ടിട്ടുണ്ടോ,
2096,മാമാങ്കക്കടവത്തുകണ്ട പരിചയംകൂടിയില്ല,
2097,മാരിപോലെ വന്നാലും മഞ്ഞുപോലെ ആകും,
2098,മാരി കടംഇടുകയില്ല,
2099,മാറാത്ത വ്യാധിക്ക് എത്താത്ത മരുന്ന്,
2100,"മാവുതിന്നാൽ പണിയാരമില്ല, പെണ്ടാട്ടിയെ തിന്നാൽ മക്കളില്ല",
2101,മാവിൽ തിന്നാൽ പണിയാരത്തിൽ കുറയും,
2102,മിഞ്ചികൊടുക്കാഞ്ഞാൽ മീശ വരികയില്ല,
2103,മിണ്ടാപ്പൂച്ച കലമുടക്കും,
2104,മിനുക്കാമുത്തു മിനുങ്ങുകയില്ല,
2105,മിന്നുന്നതെല്ലാം പൊന്നല്ല,
2106,മീത്തലെകണ്ടത്തിൽ ഉറവുണ്ടായാൽ താഴെകണ്ടത്തിലും വരും,
