	proverb	translation
1217	దరిద్రుడు తల కడగబోతే, వడిగండ్ల వాన వెంబడే వచ్చినది.	When the poor man was about to anoint his head, it began to hail.Difficulties always attend an unfortunate person.He who is born to misfortune stumbles as he goes, and though he fall on his back will fracture his nose. (German.)
1218	దర్యా మే కష్‌కష్.	A Poppy seed in the ocean.(Corrupted from the Hindustani ).A drop in the ocean.
1219	దశ దానాలకూ తోటకూర కట్ట.	For the ten gifts, [I give you] a bundle of greens.The Dasa Danalu ( ten gifts to Brahmans) are as follows :—
1220	గోభూతిలహిరణ్యాజ్యవాసోధాన్యగుడానిచ|	రౌప్యంలవణమిత్యేతేదశదానాఃప్రకీర్తితాః||A cow; land; sesamum seed; gold; ghee; cloth; grain; molasses; silver; and salt.Cheating the Brahmans.
1221	దాగ పోయిన చోట దయ్యాలు పట్టుకొన్నట్టు.	The devils caught him in the place he went to hide in.One ill calls another. (Italian.)
1222	దానము అయితే యివ్వలేను, దండగ అయితే పెట్టగలను.	As for charity, I can’t give; as for ﬁnes, I can pay.Said by a quarrelsome ruffan.
1223	దారిని పొయ్యే వ్యాజ్యము కొని తెచ్చుకొన్నట్టు.	Buying and bringing a suit which was going along the road.Buying the right to carry on a heavy law suit from a stranger.
1224	దాసరి తప్పు దండముతో సరి.	The crime of a Dasari is excused with an apology.
1225	దాసరి పాటకు ముష్టి ముజరా.	For the song of a Dasari an aims is the payment.All that his singing is worth.Small payment for bad work.
1226	దాసరి పాట్లు పెరుమాళ్లకు యెరుక.	The troubles of a Dasari are known only to Perumal.
1227	దాసరివా జంగమవా అంటే, ముందరి వూరికొద్దీ అన్నాడట.	When a mendicant was asked whether he was a Dasari or a Jangam (i. e. a follower of Vishnu or Siva) he replied “Oh that depends on the next village!”A time server.
1228	దాసీ కొడుకయినా కాసు గలవాడు రాజు.	A man with money is a king though he be the son of a slave girl.
1229	దాస్తిని వేరుండు మొగుడా.	I have saved [money] live separate with me, husband.Said by a wife to her husband to induce him to quit his father's house. After he had yielded to her importunity and left his father's house, he enquired the amount of her savings when she replied " I have saved myself for you.”
1230	దిక్కులేని దివాణముగా వున్నది.	A government which affords no protection.
1231	దిక్కులేని యింట్లో దయ్యాలు కాపురము చేస్తవి.	In a neglected house, devils take up their abode.
1232	దిక్కులేని వారికి దేవుడే దిక్కు.	God is the help of the helpless.God is where He was. ​
1233	దిగులు పడితే, వెతలు తీరునా.	If you fear, will the pain be less?
1234	దినగండము వెయ్యేండ్లు ఆయుస్సు.	Daily danger of death, but duration of life a thousand years.Snakes are believed to live 1000 years if they do not meet with a violent death.Applied to a man always in danger of losing his situation.
1235	దినము మంచిదని తెల్లవార్లూ దొంగిలినట్టు.	Trusting to the “lucky day” the thief let the dawn overtake him.Taking advantage of liberty.
1236	దివిటీ కింది దీపము.	A lamp under a torch.One insigniﬁcant before the other.
1237	దివ్వె తీశిన గూడు వలె వున్నది.	Like a niche with the lamp taken out of it.The reality wanting.
1238	దిసమొలవాడా కాళ్లకట్టు వానికి కప్పుమన్నట్టు.	Like saying “O naked man! cover him lying at your feet.”
1239	దిసమొలవాడి దగ్గిరికి దిగంబరుడు వచ్చి బట్ట అడిగినట్టు.	Like one naked man asking another naked man for a cloth.
1240	దీపము ముడ్డి కింద చీకటి.	It is always dark underneath a lamp.Roguery hide under the judgment seat.
1241	దీపము వుండగానే చక్కపెట్టుకో వలశినది.	Put all things in order while the lamp is yet burning.Make good use of your opportunities.
1242	దుక్కిటెద్దు దేశాంతరము వెళ్లినట్టు.	Like the ox being away when wanted for the plough.Absent when most wanted.
1243	దున్నక చల్లితే, కొయ్యక పండినది.	When the ﬁeld was sown without being ploughed it yielded without being reaped.i. e. it yielded nothing.If you neglect the use of the right means you must expect poor results.
1244	దున్నపోతు యీనినదంటే, దూడను కట్టి వేయుమన్నట్టు.	When one said “The male buffalo has calved” the other replied “Then tie up the calf.”
1245	దున్నబోతే దూడలలోనూ, మేయబోతే ఆవులలోనూ.	When [wanted for] ploughing it goes among the calves; when grazing it goes with the cows.The best at eating, the worst at working.
1246	దున్నేవాండ్లకు లేళ్ల చూపించినట్టు.	Like pointing out antelope to ploughers.Diverting the attention of people from their work.
1247	దుబ్బు కాగెడు, వెన్ను మూరెడు, దూసితే దోశెడు, వూదితే యేమీ లేదు.	The stock of the millet is as large as you can embrace; the ear is a cubit in length; when you pluck the corn out it is a double handful; when you blow all goes.Great show but no reality.
1248	దుష్టునికి దూరముగా వుండ వలశినది.	Shun a wicked man.
1249	దూడ కుడిచినట్టా దుత్తలో పడ్డట్టా.	Is it that the calf has sucked, or that [the milk] has fallen into the pail?In either way beneﬁcial.
1250	దూడ కుడిస్తేగాని, ఆవు చేపదు.	Unless the calf sucks, the cow will not let milk into her udder.
1251	దూడలేని పాడి దుఃఖపు పాడి.	Where there is no call‘, the milk is got with pain.
1252	దూడా బర్రే వుండగా గుంజ అరిచినదన్నట్టు.	Like blaming the post when the calf or the she buffalo bellowed.27
1253	దూరపు కొండలు నునుపు, దగ్గిరికి పోతే రాళ్లూ, గుండ్లూ.Mountains are smooth at a distance, but rugged when near.'Tis distance lends enchantment to the view,And robes the mountains in its azure hue. Campbell.	
1254	దెబ్బకు దయ్యము సహా అడలుతుంది.	A devil even takes fright at a blow.Strong measures will set things to right.
1255	దేవుడిచ్చునేగాని తినిపించునా.	God will give, but will He put the food in your mouth ?God helps hose who help themselves.
1256	దేవుడితోడు నా మీద దయ వుంచ వలశినది.	I adjure you by God to show me favor.Attempting to obtain a person’s favor by force.
1257	దేవుడి పెండ్లికి అందరూ పెద్దలే.	At the marriage ceremony of a god all are rulers.Where there is no head, every one does what he likes.
1258	దేవుడూ వరమిచ్చినా పూజారి వరమివ్వడు.	Although God grant a boon, yet the priest will not grant it
1259	దొంగకు చేను పచ్చి లేదు.	The thief does not care if the corn be not quite ripe.A man is not particular about that which does not belong to him.
1260	దొంగకు తలుపు తీశి దొరను లేపేవాడు.	He opens the door for the robber and then awakes his master.A double dealing rascal.
1261	దొంగకు దొరికినదే చాలును.	A thief is content with what he gets.
1262	దొంగ చిక్కెనోయి అంటే, కరిచేనోయి అన్నాడట.	When one cried out “I have got the thief” the other said “Take care! he’ll bite.”A cowardly fellow.
1263	దొంగ చెయ్యి దాచిపెట్టితే, అమావాస్య వచ్చినప్పుడు అల్లల్లాడినట్టు.	The thief’s hand that was kept began to shake when the dark night of the new moon came.The time it had been accustomed to steal.
1264	దొంగతో కూడా దయ్యము వెంబడే వచ్చును.	The devil follows close on the thief‘.To urge him on.
1265	దొంగను తేలు కుట్టినట్టు.	Like a robber stung by a scorpionA man does not cry out when he suﬂ'ers from his own folly.
1266	దొంగను పుట్టించిన వాడు మతిభ్రష్టును పుట్టించక మానడు.	He that created a knave will not fail to create a dupe.A fool only is cheated.
1267	దొంగల తల్లికి యేడవ భయము.A robber’s mother fears to weep.When her son is caught.A person will suffer rather than criminate or bring shame upon himself.	
1268	దొంగలు కొట్టిన ఆరు మాసములకు కుక్కలు మొరొగినవి.	The dogs barked six months after the robbery.
1269	దొంగలు తోలిన గొడ్డు యే రేవున దాటినా వకటే.	It matters not which ford was crossed by the stolen ox.When one suffers a. loss the cause matters little.
1270	దొంగ వాకిట మంచము వేశినట్టు.	Putting your bed in the yard of a thief's house.To watch his doings.Outwitting a crafty man.
1271	దొంగవాడి పెండ్లాము యెప్పుడూ ముండమోపే.	A thief’s wife is always a widow.She is always in danger of becoming one.
1272	దొంగా మనిషే.	A thief is but a man.
1273	దొంగిల బోతే మంగలం దొరికినది.	When he went to steal, he only got an earthen dish.Disappointment in evil designs.
1274	దొడ్డెడు గొడ్లను దొంగలు తోలుకొని పోతే, గొడ్డు గేదె శ్రీ మహాలక్ష్మి అయినది.After the whole of the cattle had been stolen from the shed, the barren buﬂalo became as valuable as Maha Lakshmi (the goddess of fortune).	
1275	దొరలు యిచ్చిన పాలుకన్నా ధరణి యిచ్చిన పాలు మేలు.	The share given by the earth is better than that given by the government.Free lands are better when fertile, than shares of grain allotted by government.
1276	దొరికిన సొమ్ముకు దొంగ అవుతాడా.	Does a man become a thief by ﬁnding property ?
1277	దోవలో కూర్చుడి దొబ్బులు తిన్నట్టు.	Sitting in the middle of the road and being abused by every passer by.
1278	ద్వారపూడి పచ్చెపువాడి వత్తు.	Like a pickpocket of Dvarapudi.Dvarapudi is a notorious village in the Godavery District.
1279	ధనియాల జాతి.The coriander-seed caste.Said of Komatis because treating a Komati roughly is the only way of dealing with him, as rubbing the coriander-seed before it is sown is the only way of making it sprout.	
1280	దొడ్డెడు గొడ్లను దొంగలు తోలుకొని పోతే, గొడ్డు గేదె శ్రీ మహాలక్ష్మి అయినది.	After the whole of the cattle had been stolen from the shed, the barren buﬂalo became as valuable as Maha Lakshmi (the goddess of fortune).
1281	దొరలు యిచ్చిన పాలుకన్నా ధరణి యిచ్చిన పాలు మేలు.	The share given by the earth is better than that given by the government.Free lands are better when fertile, than shares of grain allotted by government.
1282	దొరికిన సొమ్ముకు దొంగ అవుతాడా.	Does a man become a thief by ﬁnding property ?
1283	దోవలో కూర్చుడి దొబ్బులు తిన్నట్టు.	Sitting in the middle of the road and being abused by every passer by.
1284	ద్వారపూడి పచ్చెపువాడి వత్తు.	Like a pickpocket of Dvarapudi.Dvarapudi is a notorious village in the Godavery District.
1285	ధనియాల జాతి.	The coriander-seed caste.Said of Komatis because treating a Komati roughly is the only way of dealing with him, as rubbing the coriander-seed before it is sown is the only way of making it sprout.
1286	ధర్మపురిలో దొంగిలించబోతూ ధార్వాడలోనుంచి వంగుకొని పోయినాడట.	[The thief] going to rob in Dharmapuri went crouching from Dharwada ( Dharwar ).
1287	ధాష్టీకానికి ధర్మము లేదు, గుడ్డి కంటికి చూపు లేదు.	There is no justice in oppression, and no sight in ablind eye.
1288	ధీరుడయినా కావలె, దీనుడయినా కావలె	You must get a hero or a beggar [ for a husband].
1289	ధైర్యములేని రాజు, యోచనలేని మంత్రి.	A king without courage, a minister without judgment.
1290	ధ్వంస పారాయణము, దంటు మంట.	Useless reading, like the blazing of millet stalks.
1291	న.నంగి వంగలు మేస్తే నారికేళాలు దూడమేశినది అన్నాడట.“When the Nangi ate up the brinjals, the calf ate up the	cocoanuts” said be A certain S'udra named Venn before going on a pilgrimage delivered over charge of his brinjal garden to a Komati called Kustumbha. When he returned and applied for his garden his friend told him that the Nangi had eaten up all the brinjals. Vénu knew that no such animal existed, but remained quiet and waited his opportunity to pay oil’ the Kornati. Shortly afterwards Knstumbha required a man to watch his cocoannt garden and engaged Venn for this work. The éddra sold all the cocoa nuts and appropriated the proceeds. On being questioned by the Kornati, Vépu told him that the calf had eaten all the cocoanuts. " How is that P” asked Kustumbha,“ How could it reach them 9" “ Oh" replied Venn“ When the Nangi ate the brinjals could not the calf eat the cocoanutsl'” The Komati, knowing his own dishonesty, could give no answer.
1292	ధాష్టీకానికి ధర్మము లేదు, గుడ్డి కంటికి చూపు లేదు.	There is no justice in oppression, and no sight in ablind eye.
1293	ధీరుడయినా కావలె, దీనుడయినా కావలె	You must get a hero or a beggar [ for a husband].
1294	ధైర్యములేని రాజు, యోచనలేని మంత్రి.	A king without courage, a minister without judgment.
1295	ధ్వంస పారాయణము, దంటు మంట.	Useless reading, like the blazing of millet stalks.
1296	న.నంగి వంగలు మేస్తే నారికేళాలు దూడమేశినది అన్నాడట.“When the Nangi ate up the brinjals, the calf ate up the	cocoanuts” said be A certain S'udra named Venn before going on a pilgrimage delivered over charge of his brinjal garden to a Komati called Kustumbha. When he returned and applied for his garden his friend told him that the Nangi had eaten up all the brinjals. Vénu knew that no such animal existed, but remained quiet and waited his opportunity to pay oil’ the Kornati. Shortly afterwards Knstumbha required a man to watch his cocoannt garden and engaged Venn for this work. The éddra sold all the cocoa nuts and appropriated the proceeds. On being questioned by the Kornati, Vépu told him that the calf had eaten all the cocoanuts. " How is that P” asked Kustumbha,“ How could it reach them 9"“ Oh" replied Venn“ When the Nangi ate the brinjals could not the calf eat the cocoanutsl'” The Komati, knowing his own dishonesty, could give no answer.
1297	నంగీ నమలక మింగవే అంటే, వుడికిన చేపలు కరుస్తవి అన్నదట.“Swallow without chewing, Nangi.”-—“ The boiled ﬁsh are	biting me” she replied. (See Nos. 150, 663,182.‘),2034.)Nangi is a name given to a woman who is never at a loss for an excusehowever paltry.
1298	నంది అంటే నంది, పంది అంటే పంది.	If he says it’s ISiva's bull, it is Shiva’s bull; if he says it’s apig, it is a pig. (Bee 210.1082.)Said of the power of a great and unjust man.
1299	నంబి పెట్టినదే ప్రసాదము.	What the priest gives is sacred.
1300	నంబీ, తంబళీ, నాగుబామూ, చెవుల పిల్లీ, యెదురైతే చేటువస్తుంది.	If you meet a Nambi, a Tambali, a cobra da capello, or ahare, it will be worse for you.
1301	నంబీ నంబీ నా పెండ్లికి యేమి సహాయము చేస్తావంటే, నీ పెండ్లికి నేను యెదురుగా రాకపోవడమే సహాయమన్నాడట.	“ O Nambi! Namhi ! what assistance will you render at mymarriage 'l” said one. “I will help you by my absence,” replied the priest. Meeting a Nambi is an ill omen.Negative advantages.
1302	నక్క గూసి పిల్లలకు దోవ తెచ్చును.	The jackal howls and brings evil upon its whelps.
1303	నక్క జిత్తులన్నీ నావద్ద వుండగా నన్ను మోసము చేశెనే తాబేటి బుర్ర.	Although I was as cunning as a fox, I was deceived by a tortoise.A man sat on the back of a tortoise not knowing what it was, and sank with it.
1304	నక్కను చూచిన వాడెల్లా వేటకాడే.	Every one who sees a jackal hunts it.
1305	నక్క పోయిన వెనక బొక్క కొట్టుకొన్నట్టు.	After the jackal had departed, the hole lamented and wept.Great sorrow in a household.
1306	నక్క యెక్కడ, దేవలోకమెక్కడ.	Where is the j ackal '! where is heaven’!What prospect has the jackal of entering heaven 5’A hopeless idea.
1307	నక్క రేలకాయ సామ్యము.	Like the effect of the Cassia fruit on a jackal.Rﬁla is the Cassia (Cathartocarpus) Fistula.
1308	నక్కలు యెరగని బొక్కలూ నాగులు యెరగని పుట్టలూ వున్నవా.	Are there holes unknown to j ackals, or anthills to snakes '!
1309	నట్టేట పుట్టి ముణిగినట్టు.	Like a basket boat sinking as it reached the middle of theriver. A break down half way, in any business.
1310	నడమంత్రపు దాసరి పొద్దుమానము యెరగడు.	A man who has become a Dasari in middle age, is not punctual in his duties. Business habits must be learnt in youth.
1311	నడమంత్రపు శిరి, నరాలమీది కురుపు.	A fortune obtained in middle age is like a boil on the sinews.It spoils a man.
1312	నడవలేని అమ్మకు నాలుగు పక్కలా సవారి.	A lady who can’t walk must have carriages on all sides.Said of a lazy woman.
1313	నడిచే కొద్దీ డొంక, పెట్టే కొద్దీ కుదురు.	As you walk you widen the path, as you put [earth] youraise the ledge. Donku is a path between two ﬁelds.Kuduru is a ledge made withearth round a mortar in which grain is pounded.
1314	నత్తగుల్లలన్నీ వకరేవున, ముత్యపు చిప్పలన్నీ వకరేవున	Corrnnon oysters are in one spot, and pearl oysters in another.( lee Non. 135, ms, was, me, me. )2s
1315	నన్ను నేనే యెరగను, నిన్ను నేనేమి యెరుగుదును అన్నాడట	.He said “I don’t know myself, how can I know you 'l”Said of a supercilious fellow.
1316	నమల కూడని నారికేళము.	A cocoanut which cannot be chewed.A diﬁicult business.
1317	నమాజు చెయ్యబోతే, మశీదు మెడను పడ్డది.	When he went to pray, the mosque fell on his neck.The management of the mosque was forced upon him.
1318	నమ్మితి రామన్నా అంటే, నా అంతవాణ్ని చేస్తానన్నట్టు.	When a man expressed his trust in Ramanna, the latterpromised to make him as great a man as himself. R‘amanna was really a beggar though pretending to be a great man.
1319	నమ్మి నానబోసితే, పులిసి బుర్రటలాడెను.	I trusted it and put it to soak, it became acid and began toferment. Misplaced conﬁdence.
1320	నరము లేని నాలుక నాలుగు విధాలు.	The tongue without nerves goes all ways.When the conscience is dead, moral restraint disappears.
1321	నరుని కంట నల్లరాయి పగులును.	By the look of a man’s eye, granite will be broken.The power of an evil eye. ​
1322	నలపాకము భీమపాకముగా వున్నది.	It is like the cooking of Nala and Bhima.Said ironically to a bad cook.
1323	నల్లిని గూర్చి మంచానికి పెట్లు.	Beating a bedstead on account of the bugs.( Sc: Nos. 256, I910.)
1324	నల్లేరు మీద బండి పారినట్టు.	Like a cart running over Nalléru.Nalleru is the Vitis ( Cissus ) Quadrangularis.
1325	నవాబు సాతుల్లా ఖాన్ అవ్య నాటిది.	Of the days of Nawab Sa’adat-ullah K_han’s grandmother.A: old as the hills.
1326	నవాయతీ పొట్టా తమలపాకులు కట్టా తడువుతూ వుండవలెను.	You must keep a Nawayati lad and a bundle of betel leaveswet. Nawﬁyatr' is a sect of Muhammadans ( See the " Qanoon-e-Islam” page 12 et seq. ).—Weter is thrown on betel leaves by thebazar-men to keepthem fresh and to prevent their being blown away.
1327	నవిలేవానికన్నా మింగేవాడు ఘనుడు.	He who swallows is better off than he who chews.He gets along at a greater pace. Said of an energetic man. ​1245. నవ్వ చెప్పేవాడు చెడ జెప్పును, యేడవ చెప్పేవాడు బ్రతక చెప్పును.He who speaks to make you laugh, speaks to your ruin ; he who speaks to make you weep, speaks to your proﬁt.A friend's frown is better than a fool’: smile.
1328	నవ్విన నాపచేనే పండుతున్నది.	The ﬁeld of young millet which is laughed at will be fruitful.Hindu cultivators assemble round a ﬁeld which is in want of rain and laugh at it, taunting it with its unfruitfulness. By this means they believe that rain is brought down.
1329	నవ్వుతూ తిట్టితివో నరకాన పడితివో.	Laughing, you reviled, and you have fallen into hell!
1330	నవ్వు నాలుగందాల నష్టకారి.	Silly laughter produces much harm.Laughter is the hiccup of a fool.
1331	నవ్వే ఆడదాన్నీ యేడ్చే మొగవాణ్ణీ నమ్మరాదు.	A laughing woman and a crying man should not be trusted.
1332	నాం బడా, దర్శన్ థోడా.	Great in name, but little to look at.The words of this proverb are Hindustani.
1333	నాకు ఆయుష్యమస్తు, నాకు ఆరోగ్యమస్తు.	Let me have long life! let me have health!A selﬁsh man blessing himself.Priests bless themselves ﬁrst. (Gel-1mm)‘' PNIen segnen slch want. ​1252. నాకు పరీక్షా, నా రాగి చెంబుకు పరీక్షా.Am I to be examined, or is my copper pot ?Said by an ignorant Vaidika who with great pretentions lo learning knew nothing, and wished his pot to be examined instead of himself.
1334	నాకూ నా పిల్లలకూ నూరేండ్లు ఆయుస్సు, నా పెనిమిటికి లోకము తోటిపాటు.	As for me and my children, let our age be a hundred years ; as for my husband, let him take his chance in the world.The prayer of a. wife who did not love her lord.
1335	నాకూ శిగ్గులేదు, రేపు వచ్చే అమావాస్యకూ శిగ్గులేదు.	I am not ashamed, the Amavasya which is coming to-morrow is not ashamed.
1336	నాకోడీ కుంపటీ లేకపోతే, యేలాగు తెల్లవారుతున్నది.	If it were not for my cock and chaﬁng-dish, how would the world go round’!(sum. 150.)A story is told of an old woman who fancied that the crowing of her cock woke the whole village, and that all the inhabitants were dependent on her for ﬁre.Daylight will come, though {he cock do not crow. (Dmhh. )'
1337	నాగవల్లి తీరినట్టు.	The last day of the marriage over.0r, according to some,The great day of the marriage has come.Nagavalli is the concluding ceremony at a Hindu’s marriage.Dulness after gaity, or festivity at its height.' Del bllver vol Dug om end Hanen ei galer. ​
1338	నాగవల్లి నిష్ఠురము.	Squabbling on the fourth day of the marriage.Any disputes with regard to the presents. &c.. are brought forward on the fourth day;until then no one can open his mouth.Forgetting many past beneﬁts on account of one slight fault.
1339	నా చెయ్యి నొస్తున్నది, నీ చేత్తో మొత్తుకో.	My hand is aching,afgsaa, beat bwith your hand upon your mouth.Mourning by proxy.
1340	నా చేతి మాత్ర, వైకుంఠ యాత్ర.	The pill in my hand, [will take you on] a pilgrimage toVaikuntha (Vishnu's heaven). Said jokingly to a quack. Bleed him, and purge him;ifhc dies, bury him. (Splnish-P
1341	నాజూకు నక్కలు దేకితే, నరిశిన గడ్డము కుక్కలు పీకినవి.	When the jackals slid on his delicacy, the dogs pulled outhis grey beard. Said of a hoary old humbug.
1342	నాటకములు బూటకములు, బోటితనములు నీటులు.	Plays are unreal, your wit is your beauty.
1343	నాథుడు లేని రాజ్యము నానా దారులు అయినది.	A kingdom without a ruler becomes disorganized in all ways.' Bangrarle y purgarlo; Ii so murierc, enterrnrle. ​
1344	నానాటికి తీశిపెట్టు నాగంభొట్లు.	Pine away day by day, Négambhotlu.Said to a hypocritical Brahman, who was neglected when his tricksbecame known.
1345	నానా రుచులు పారి నాలికమీద కొరివి పెట్టుకొన్నట్టే వున్నది.	All kinds of savours run over my tongue, [and taste] just as if a ﬁrebrand was put on it.Said by a man to n wretched cook.
1346	నా పతివ్రతా ధర్మము నా మొదటి పెనిమిటికి తెలుసును.	My chastity is known to my ﬁrst husbandSaid by a widow who had passed herself off as a maid, and married again.
1347	నా పప్పు కలిశినంతా నేనే తింటాను.	I will eat as much of the rice as my Dal has been mixed with. Said by the greater of two men who, when travelling together, hsd mixed their food, the big men having brought dAl and the other rice.Applied to a. grasping, selﬁsh man.
1348	నా పాదమే గతి అన్నట్టు.	My foot is my safety.The disciples of a Guru on commencing to cross a river said " May theholiness of our master's feet preserve us!" After they had crossed it in safety the self righteous Guru believing that his presence had preserved them, stepped into the water saying "My foot is my safety” and was carried away by the stream, and drowned.
1349	నా ముందర బానెడు గంజా.	What is a big pot of gruel to me '2Said by a glutton. ​
1350	నా యింటికి నేనే పెద్దను, పిల్లికి పెట్టరా పంగనామము.	I am the head of my house, I order you to put a Panganamam on the cats face.The folly of a mean man in power.
1351	నాలికా నాలికా వీపుకు దెబ్బలు తేక.	0 Tongue! Tongue! don’t bring strokes on my back.The tongue talk: at the head’: cost. Let not the tongue utter what the head must [mg for. (Bpan'uh. )~
1352	నాళ్లల్లోకెల్లా చిన్ననాడే మేలు.	Of all times, childhood is the best, orOf all sects, the little sect is the best.Ndcju signiﬁes a sect, it also means time.When Appéji the ministerwas asked by the king which sect was superior to the others, he cleverly evaded the question, by making a pun on the word.
1353	నా వేలు పుచ్చుకొని నా కన్నే పొడిచినావా.	Have you poked my eye with my own ﬁnger’!To confute a man's reasoning with his own arguments.
1354	నా శిరికన్నా అక్కశిరి ఘనము, అక్కశిరికన్నా నా శిరి ఘనము.	My sister’s fortune is greater than mine, and my fortune is greater than my sister’s.One no better off than the other.' No dlsa In lengun por do vague la cabal-u. ​
1355	నిండు కుండ తొణకదు.	A full pot will not spill. True learning is humble. Empty van-cl: give the greatest sound.Dccp rivers move in silence, shallow brook: are noisy.
1356	నిజమాడితే నిష్ఠురము.	If you tell the truth [it causes] annoyance.(scum. 320, m1.)Truth i: bitter-food. ('Dlnhln)‘
1357	నిజము నిలకడమీద తెలుసును.	Truth will be known in time.Truth is the daughter of time.
1358	నిత్యము చచ్చేవారికి యేడ్చేవారు యెవరు.	Who are the mourners over people that die every day’!Those who always say their death is near.Said of a. man continually requiring to be corrected in his work.
1359	నిద్రపొయ్యేవాణ్ని లేపవచ్చునుగాని, మేలుకొన్న వాణ్ని లేపకూడదు.	You can wake a person who is asleep, but not one who isawake None so dcaf as those who won't hear. None so blind as those who won't see.' Smdhed er en sum’ Kent.
1360	నిద్రపోయిన వాడి కాళ్లకు మొక్కినట్టు.	Like falling at the feet of a sleeping man.Useless endeavours at a wrong time.
1361	నిన్న కుప్పా నేడు ఆళ్లు.	Yesterday there was a heap [of cut corn ], to-day there is Allu [thrashed]. Sudden advancement, speedy progress._Yesterday a cowherd, to-day a cavalier. (Spanish-P
1362	నిప్పుకు చెదలంటునా.	Will white ants attack ﬁre’!
1363	నిప్పుకూ నీళ్లకూ వుండే స్నేహము.	The friendship existing between ﬁre and water.They agree like cats and days.
1364	నిప్పు కొట్టితే రెండు అవునుగాని, నీళ్లు కొట్టితే రెండు అవునా.	If you out ﬁre it will be divided, but if you out water willit divide '! (See um. 468,190.)Insepnrable friendship. They are ﬁnger and thumb.
1365	నిప్పు ముట్టనిదీ చెయ్యి కాలదు.	Don’t touch ﬁre, and your hand won’t be burnt.(m Nos. 142, we.) Don't play with the bear if you don’t want to be bit. (Minn-)t' Ayer vsquero. hoy cuballero. t Non ischern: coll'orso. so non vnol euer morso. ​
1366	నిప్పుల బుర్రకు నీళ్ల బుర్ర.	A bowl of water to a bowl of ﬁre.An answer to a. threat.
1367	నిప్పులు వళ్లో కట్టుకొని వున్నాడు.	He has ﬁre in his skirt.
1368	నిమ్మకు నీ రెత్తినట్టు.	Like watering a lime tree.
1369	నిర్భాగ్యునికి నిద్ర, అభాగ్యునికి ఆకలి.	Sleep to an unfortunate man, hunger to a poor man.Over sleeping is considered by Hindus to be a sign of misfortune, andhunger a sign of poverty.
1370	నిలవ నీడా పట్ట కొమ్మా లేదు.	No shade to stand under, or branch to clutch.Helpless and forlorn.
1371	నిలుచుండడానకు జాగా దొరికితే, కూర్చుండడానకు అప్పుడే దొరుకు తున్నది.	If you get a place to stand in, you will soon be able to get room to sit in.Give me a seat, and I will make myself room to lie down. (spent-h)’
1372	నివురు కప్పిన నిప్పు సామిత.	Fire covered with embers.Said of a very learned and humble man.‘ Dame donde ms sslente, que yo me hare donde me acueste. ​
1373	నిష్ఠ నీళ్ల పాలు, మంత్రము మూలాల పాలు.	His religious rites go to the water, and his Mantras to the Pariahs.Said of a great formnlist. Most of the religious rites of the Brahmans are performed with water. The sacred formulas (Mantras) ought according to the S'Astras to be pronounced in a low voice, inaudible to the people.
1374	నీ అరచేతికి పండ్లు వస్తే చూతాము.	When teeth grow in the palm of your hand, I’ll listen to you.
1375	నీకు రానిదీ నాకు విన సహించనిదీ పాడుమన్నట్టు.	Sing something that you don’t know and that I cannot hear to hear.Asking something which is impossible.
1376	నీకు రానిదీ, నేను విననిదీ, భూలోకములో లేనిదీ చెప్పుమన్నట్టు.	Tell me something that you never knew, that I never heard, and that never existed in the world.
1377	నీకు వక దండము, నీ బువ్వకు వక దండము.	A bow to you, a bow to your food.Said when oil‘ered bad food. ​
1378	నీకూ నాకూ కాదు, రోలెత్తి తలబ్రాలు పోయుమన్నట్టు.	You and I don’t like each other; let us throw the mortar over each other's heads instead of rice.( For Rdlu see No- 1141-)Said by one of an ill matched pair at their marriage.- Talabrzilu is the rice poured over the head of the bride and bridegroom.
1379	నీతి కాని మాట రాతి వేటు.	An unjust word is the throwing of a stone.
1380	నీతిలేని వాడు కోతికన్న బీడు.	An unjust man is worse than a monkey.
1381	నీ నొసటనే ప్రొద్దు పొడిచినదా.	Did the sun rise on your forehead only’!Are you the greatest in the world ?
1382	నీ వత్తుపణం పాడుగానూ, నా వొరుపణం కుప్పలు కుప్పలు పెట్టు.	Ruin take your ten fanams, put my one fanam in heaps.The words Paltu papam and Oru papam are Tamil.Said by a. Telugu man, ignorant of Tamil, who was owed one fanam, and owed ten.
1383	నీ పెండ్లి పాడుగా వున్నది గాని నా పెండ్లి తాంబూలానికి రమ్మనాడట.	Your marriage is rubbish, come to my marriage and hotel. ​
1384	నీ పేరంటమే అక్కరలేదంటే, కరకంచు చీరకట్టుకొని వస్తానన్నదట.	If you refuse to admit me to the entertainment given in your house for the poor, I will come to dinner in a rich dress.(Bee NM. I060, was.)Said by a poor woman to a rich mam-At many Brahminical ceremonies gifts and food are distributed to the wives of the Vaidikas while a superior entertainment is provided for those of the Laukikas of theNiyyogi class.Forcing oneself upon another.
1385	నీ ముష్టి లేకపోతే మానెగాని, నీ కుక్కను కట్టివెయ్యి.	If there are no aims for me, never mind, but tie up your dog.Said by a beggar.
1386	నీ యెడమ చెయ్యి తియ్యి, నా పుర్ర చెయ్యి పెట్టుతాను.	Take away your left hand, I will use my ‘sinister hand.(SeeNmﬂﬁJA: broad as long.
1387	నీరు నీరు వంకనే పారుతున్నది.	Water runs towards water.Men haste to help those of their own caste, 8:0.
1388	నీరు పల్లమెరుగును, నిజము దేవుడెరుగును.	Water ﬁnds the low ground, God knows the truth.(Sec Non. H0], 1910.)
